I, [2017-10-30T14:28:54.050534 #44080]  INFO -- Kitchen: -----> Starting Kitchen (v1.18.0)
E, [2017-10-30T14:28:54.051084 #44080] ERROR -- Kitchen: ------Exception-------
E, [2017-10-30T14:28:54.051165 #44080] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-10-30T14:28:54.051196 #44080] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tech-a67/Documents/classwork/w08d03/cookbooks/.kitchen.yml does not exist.
E, [2017-10-30T14:28:54.051217 #44080] ERROR -- Kitchen: ----------------------
E, [2017-10-30T14:28:54.051258 #44080] ERROR -- Kitchen: ------Backtrace-------
E, [2017-10-30T14:28:54.051275 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2017-10-30T14:28:54.051292 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/config.rb:147:in `data'
E, [2017-10-30T14:28:54.051309 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/config.rb:126:in `suites'
E, [2017-10-30T14:28:54.051326 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/config.rb:177:in `filter_instances'
E, [2017-10-30T14:28:54.051343 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/config.rb:136:in `build_instances'
E, [2017-10-30T14:28:54.051360 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/config.rb:112:in `instances'
E, [2017-10-30T14:28:54.051376 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-10-30T14:28:54.051393 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-10-30T14:28:54.051409 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-10-30T14:28:54.051425 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-10-30T14:28:54.051452 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-10-30T14:28:54.051472 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-10-30T14:28:54.051492 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-10-30T14:28:54.051510 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-10-30T14:28:54.051528 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-10-30T14:28:54.051546 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-10-30T14:28:54.051564 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-10-30T14:28:54.051582 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-10-30T14:28:54.051600 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-10-30T14:28:54.051621 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-10-30T14:28:54.051639 #44080] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.18.0/bin/kitchen:13:in `<top (required)>'
E, [2017-10-30T14:28:54.051656 #44080] ERROR -- Kitchen: /usr/local/bin/kitchen:256:in `load'
E, [2017-10-30T14:28:54.051671 #44080] ERROR -- Kitchen: /usr/local/bin/kitchen:256:in `<main>'
E, [2017-10-30T14:28:54.051702 #44080] ERROR -- Kitchen: ----End Backtrace-----
